variant,count
"('Регистрация претензии', 'Проверка документов', 'Урегулирование претензии', 'Утверждение претензии', 'Ремонт автомобиля', 'Подготовка итоговой документации', 'Закрытие страхового случая', 'Обзор произошедшего случая')",14851
"('Регистрация претензии', 'Проверка документов', 'Урегулирование претензии', 'Урегулирование объёма убытков', 'Утверждение претензии', 'Получение страховых резервов', 'Отправка платежа', 'Закрытие страхового случая', 'Обзор произошедшего случая')",7523
"('Регистрация претензии', 'Проверка документов', 'Урегулирование претензии', 'Утверждение претензии', 'Получение права на предъявление претензий от страхователя', 'Ремонт автомобиля', 'Подготовка итоговой документации', 'Закрытие страхового случая', 'Обзор произошедшего случая')",5482
"('Регистрация претензии', 'Проверка документов', 'Проверка на мошенничество', 'Урегулирование претензии', 'Урегулирование претензии', 'Утверждение претензии', 'Ремонт автомобиля', 'Подготовка итоговой документации', 'Закрытие страхового случая', 'Обзор произошедшего случая')",5044
"('Регистрация претензии', 'Проверка документов', 'Проверка на мошенничество', 'Урегулирование претензии', 'Утверждение претензии', 'Ремонт автомобиля', 'Подготовка итоговой документации', 'Закрытие страхового случая', 'Обзор произошедшего случая')",4387
"('Регистрация претензии', 'Проверка документов', 'Поиск потерянной документации', 'Проверка документов', 'Урегулирование претензии', 'Утверждение претензии', 'Ремонт автомобиля', 'Подготовка итоговой документации', 'Закрытие страхового случая', 'Обзор произошедшего случая')",3487
"('Регистрация претензии', 'Проверка документов', 'Урегулирование претензии', 'Отклонение претензии', 'Предъявление апелляции по претензии', 'Утверждение претензии', 'Закрытие страхового случая', 'Обзор произошедшего случая')",3006
"('Регистрация претензии', 'Проверка документов', 'Проверка на мошенничество', 'Урегулирование претензии', 'Урегулирование претензии', 'Урегулирование претензии', 'Урегулирование претензии', 'Утверждение претензии', 'Ремонт автомобиля', 'Подготовка итоговой документации', 'Закрытие страхового случая', 'Обзор произошедшего случая')",1571
"('Регистрация претензии', 'Проверка документов', 'Поиск потерянной документации', 'Проверка документов', 'Поиск потерянной документации', 'Проверка документов', 'Урегулирование претензии', 'Утверждение претензии', 'Ремонт автомобиля', 'Подготовка итоговой документации', 'Закрытие страхового случая', 'Обзор произошедшего случая')",1561
"('Регистрация претензии', 'Проверка документов', 'Урегулирование претензии', 'Урегулирование объёма убытков', 'Отклонение претензии', 'Закрытие страхового случая', 'Обзор произошедшего случая')",1506
"('Регистрация претензии', 'Проверка документов', 'Урегулирование претензии', 'Отклонение претензии', 'Закрытие страхового случая', 'Обзор произошедшего случая')",1455
